config_id,model,seed,checkpoint,beta,transform,aggregator,n_p,tau,experiment,metric,value
a04ee5a0d13e,linear,,begin,,identity,,,,E2,eigval_Q_p0,0.0596148887757615
a04ee5a0d13e,linear,,begin,,identity,,,,E2,eigval_Q_p10,0.0937410439689705
a04ee5a0d13e,linear,,begin,,identity,,,,E2,eigval_Q_p20,0.1871632172254901
a04ee5a0d13e,linear,,begin,,identity,,,,E2,eigval_Q_p30,0.2169374147538844
a04ee5a0d13e,linear,,begin,,identity,,,,E2,eigval_Q_p40,0.3964789510618191
a04ee5a0d13e,linear,,begin,,identity,,,,E2,eigval_Q_p50,0.5892759142482058
a04ee5a0d13e,linear,,begin,,identity,,,,E2,eigval_Q_p60,0.7163698671729961
a04ee5a0d13e,linear,,begin,,identity,,,,E2,eigval_Q_p70,1.9711712578434468
a04ee5a0d13e,linear,,begin,,identity,,,,E2,eigval_Q_p80,4.796545199417031
a04ee5a0d13e,linear,,begin,,identity,,,,E2,eigval_Q_p90,22.87944473894085
a04ee5a0d13e,linear,,begin,,identity,,,,E2,eigval_Q_p100,126.91815371585491
d85306d3aed3,linear,,begin,0.01,identity,,,,E2,varsigma,4.6735173322749715
d85306d3aed3,linear,,begin,0.01,identity,,,,E2,rho,0.0467351733227497
d85306d3aed3,linear,,begin,0.01,identity,,,,E2,radius_upper,0.0467351733227497
d85306d3aed3,linear,,begin,0.01,identity,,,,E2,radius_lower_simple,0.0467351733227497
d85306d3aed3,linear,,begin,0.01,identity,,,,E2,radius_lower_ascent,0.0467351733227497
d85306d3aed3,linear,,begin,0.01,identity,,,,E2,v_norm,0.33491051197052
d85306d3aed3,linear,,begin,0.01,identity,,,,E2,v_hat,7.166133944933772
d85306d3aed3,linear,,begin,0.01,identity,,,,E2,varpi,0.9995306438108084
d85306d3aed3,linear,,begin,0.01,identity,,,,E2,baseline,0.0003773575107027
d85306d3aed3,linear,,begin,0.01,identity,,,,E2,alpha_tilde_star,0.9702770144110096
d85306d3aed3,linear,,begin,0.01,identity,,,,E2,sqrt_varpi,0.999765294362036
d85306d3aed3,linear,,begin,0.01,identity,,,,E2,grad_c_norm,6.609551429748535
d85306d3aed3,linear,,begin,0.01,identity,,,,E2,Theta_rad,0.0070709129453763
d85306d3aed3,linear,,begin,0.01,identity,,,,E2,angle_gp_gc_deg,2.843241940487548
d85306d3aed3,linear,,begin,0.01,identity,,,,E2,cos_gp_gc,0.998768985271454
d85306d3aed3,linear,,begin,0.01,identity,,,,E2,s_beta,0.3333333333333333
b314bbdb2755,linear,,begin,0.03,identity,,,,E2,varsigma,4.6735173322749715
b314bbdb2755,linear,,begin,0.03,identity,,,,E2,rho,0.1402055199682491
b314bbdb2755,linear,,begin,0.03,identity,,,,E2,radius_upper,0.1402055199682491
b314bbdb2755,linear,,begin,0.03,identity,,,,E2,radius_lower_simple,0.1402055199682491
b314bbdb2755,linear,,begin,0.03,identity,,,,E2,radius_lower_ascent,0.1402055199682491
b314bbdb2755,linear,,begin,0.03,identity,,,,E2,v_norm,1.0047314167022705
b314bbdb2755,linear,,begin,0.03,identity,,,,E2,v_hat,7.166133094687009
b314bbdb2755,linear,,begin,0.03,identity,,,,E2,varpi,0.9995306716071282
b314bbdb2755,linear,,begin,0.03,identity,,,,E2,baseline,0.0003773575107027
b314bbdb2755,linear,,begin,0.03,identity,,,,E2,alpha_tilde_star,0.970277312936068
b314bbdb2755,linear,,begin,0.03,identity,,,,E2,sqrt_varpi,0.9997653082634584
b314bbdb2755,linear,,begin,0.03,identity,,,,E2,grad_c_norm,6.609551429748535
b314bbdb2755,linear,,begin,0.03,identity,,,,E2,Theta_rad,0.0212141532396586
b314bbdb2755,linear,,begin,0.03,identity,,,,E2,angle_gp_gc_deg,8.697255355359363
b314bbdb2755,linear,,begin,0.03,identity,,,,E2,cos_gp_gc,0.9885011315345764
b314bbdb2755,linear,,begin,0.03,identity,,,,E2,s_beta,1.0
297a9f1c9c3b,linear,,begin,0.1,identity,,,,E2,varsigma,4.6735173322749715
297a9f1c9c3b,linear,,begin,0.1,identity,,,,E2,rho,0.4673517332274972
297a9f1c9c3b,linear,,begin,0.1,identity,,,,E2,radius_upper,0.4673517332274972
297a9f1c9c3b,linear,,begin,0.1,identity,,,,E2,radius_lower_simple,0.1402055199682491
297a9f1c9c3b,linear,,begin,0.1,identity,,,,E2,radius_lower_ascent,0.3205746653831644
297a9f1c9c3b,linear,,begin,0.1,identity,,,,E2,v_norm,3.3491010665893555
297a9f1c9c3b,linear,,begin,0.1,identity,,,,E2,v_hat,7.166125272416786
297a9f1c9c3b,linear,,begin,0.1,identity,,,,E2,varpi,0.9995340323720024
297a9f1c9c3b,linear,,begin,0.1,identity,,,,E2,baseline,0.0003773575107027
297a9f1c9c3b,linear,,begin,0.1,identity,,,,E2,alpha_tilde_star,0.9702786533730526
297a9f1c9c3b,linear,,begin,0.1,identity,,,,E2,sqrt_varpi,0.9997669890389472
297a9f1c9c3b,linear,,begin,0.1,identity,,,,E2,grad_c_norm,6.609551429748535
297a9f1c9c3b,linear,,begin,0.1,identity,,,,E2,Theta_rad,0.04852076417158
297a9f1c9c3b,linear,,begin,0.1,identity,,,,E2,angle_gp_gc_deg,29.338543246902912
297a9f1c9c3b,linear,,begin,0.1,identity,,,,E2,cos_gp_gc,0.8717398643493652
297a9f1c9c3b,linear,,begin,0.1,identity,,,,E2,s_beta,3.3333333333333335
91930773ae6b,linear,,begin,0.1,identity,,,,E3,a_over_rho2,43.50374279200077
91930773ae6b,linear,,begin,0.1,identity,,,,E3,l1_u_star,0.1000001400533981
91930773ae6b,linear,,begin,0.1,identity,,,,E3,l1_over_beta,1.0000014005339812
91930773ae6b,linear,,begin,0.1,identity,,,,E3,u_star_top1_y8_z4,0.0300000094850539
91930773ae6b,linear,,begin,0.1,identity,,,,E3,u_star_top2_y9_z4,0.0300000020172386
91930773ae6b,linear,,begin,0.1,identity,,,,E3,u_star_top3_y0_z4,0.0299999836060107
91930773ae6b,linear,,begin,0.1,identity,,,,E3,u_star_top4_y1_z4,0.0100000425691798
91930773ae6b,linear,,begin,0.1,identity,,,,E3,u_star_top5_y4_z9,7.0677305430190325e-09
72ad701082d8,linear,0.0,begin,0.1,identity,,,,E1,relerr_calib__a_source_target,8.568119049072266
72ad701082d8,linear,0.0,begin,0.1,identity,,,,E1,cos_calib__a_source_target,0.9724159240722656
72ad701082d8,linear,0.0,begin,0.1,identity,,,,E1,relerr_shard__a_source_target,9.044116973876951
72ad701082d8,linear,0.0,begin,0.1,identity,,,,E1,cos_shard__a_source_target,0.9990462064743042
403cf4a22a03,linear,0.0,begin,0.1,identity,,,,assertions,flip_mass_gap_rel_max__a_source_target,0.0
72ad701082d8,linear,0.0,begin,0.1,identity,,,,E1,relerr_calib__b_other_pair,12.540422439575195
